from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
301790,301764,1.0,0,0,0,0,onibus
301764,301724,1.0,0,0,0,0,onibus
301724,301730,1.0,0,0,0,0,onibus
301730,30003042,2.0,0,0,0,0,onibus
30003042,30003045,1.0,0,0,0,0,onibus
30003045,30003044,1.0,0,0,0,0,onibus
30003044,30003043,2.0,0,0,0,0,onibus
30003043,30003013,1.0,0,0,0,0,onibus
30003013,301693,1.0,0,0,0,0,onibus
301693,301792,2.0,0,0,0,0,onibus
301792,301783,1.0,0,0,0,0,onibus
301783,301780,1.0,0,0,0,0,onibus
301780,301699,1.0,0,0,0,0,onibus
301699,301692,2.0,0,0,0,0,onibus
301692,301698,1.0,0,0,0,0,onibus
301698,301714,1.0,0,0,0,0,onibus
301714,301768,2.0,0,0,0,0,onibus
301768,30003015,1.0,0,0,0,0,onibus
30003015,30003018,1.0,0,0,0,0,onibus
30003018,30003020,2.0,0,0,0,0,onibus
30003020,301646,1.0,0,0,0,0,onibus
301646,30003038,1.0,0,0,0,0,onibus
30003038,301771,1.0,0,0,0,0,onibus
301771,30003039,2.0,0,0,0,0,onibus
30003039,30003021,1.0,0,0,0,0,onibus
30003021,30003019,1.0,0,0,0,0,onibus
30003019,30003017,2.0,0,0,0,0,onibus
30003017,301672,1.0,0,0,0,0,onibus
301672,301671,1.0,0,0,0,0,onibus
301671,301701,2.0,0,0,0,0,onibus
301701,301700,1.0,0,0,0,0,onibus
301700,301697,1.0,0,0,0,0,onibus
301697,301784,1.0,0,0,0,0,onibus
301784,301791,2.0,0,0,0,0,onibus
301791,30003012,1.0,0,0,0,0,onibus
30003012,30003011,1.0,0,0,0,0,onibus
30003011,301578,2.0,0,0,0,0,onibus
301578,301573,1.0,0,0,0,0,onibus
301573,30003041,1.0,0,0,0,0,onibus
30003041,301763,2.0,0,0,0,0,onibus
301763,30003051,3.0,0,0,0,0,onibus
301789,301760,1.0,0,0,0,0,onibus
301760,30003006,2.0,0,0,0,0,onibus
30003006,30003008,2.0,0,0,0,0,onibus
30003008,30003010,1.0,0,0,0,0,onibus
30003010,30003013,2.0,0,0,0,0,onibus
30003013,301693,2.0,0,0,0,0,onibus
301693,301792,2.0,0,0,0,0,onibus
301792,301783,1.0,0,0,0,0,onibus
301783,301697,2.0,0,0,0,0,onibus
301697,301784,2.0,0,0,0,0,onibus
301784,301791,1.0,0,0,0,0,onibus
301791,30003012,2.0,0,0,0,0,onibus
30003012,30003009,2.0,0,0,0,0,onibus
30003009,30003007,2.0,0,0,0,0,onibus
30003007,301751,1.0,0,0,0,0,onibus
301751,30003051,2.0,0,0,0,0,onibus
30003051,301789,4.0,0,0,0,0,onibus
6201704,620003195,1.0,0,0,0,0,onibus
620003195,6201768,1.0,0,0,0,0,onibus
6201768,620003100,2.0,0,0,0,0,onibus
620003100,620003194,1.0,0,0,0,0,onibus
620003194,6201715,1.0,0,0,0,0,onibus
6201715,6201752,2.0,0,0,0,0,onibus
6201752,6201712,1.0,0,0,0,0,onibus
6201712,6201601,1.0,0,0,0,0,onibus
6201601,620003094,2.0,0,0,0,0,onibus
620003094,6201604,1.0,0,0,0,0,onibus
6201604,301761,2.0,0,0,0,0,onibus
301761,6201761,1.0,0,0,0,0,onibus
6201761,30003083,1.0,0,0,0,0,onibus
30003083,30003160,2.0,0,0,0,0,onibus
30003160,30003001,1.0,0,0,0,0,onibus
30003001,30003051,1.0,0,0,0,0,onibus
30003051,30003002,2.0,0,0,0,0,onibus
30003002,301760,1.0,0,0,0,0,onibus
301760,30003006,1.0,0,0,0,0,onibus
30003006,30003008,2.0,0,0,0,0,onibus
30003008,30003010,1.0,0,0,0,0,onibus
30003010,301578,2.0,0,0,0,0,onibus
301578,301573,1.0,0,0,0,0,onibus
301573,30003041,1.0,0,0,0,0,onibus
30003041,30003031,2.0,0,0,0,0,onibus
30003031,301793,1.0,0,0,0,0,onibus
301793,301800,1.0,0,0,0,0,onibus
301800,301801,2.0,0,0,0,0,onibus
301801,301797,1.0,0,0,0,0,onibus
301797,301795,2.0,0,0,0,0,onibus
301795,301680,1.0,0,0,0,0,onibus
301680,301681,1.0,0,0,0,0,onibus
301681,301684,2.0,0,0,0,0,onibus
301684,301682,1.0,0,0,0,0,onibus
301682,301736,1.0,0,0,0,0,onibus
301736,301687,2.0,0,0,0,0,onibus
301687,301686,1.0,0,0,0,0,onibus
301686,301765,1.0,0,0,0,0,onibus
301765,301721,2.0,0,0,0,0,onibus
301721,301711,1.0,0,0,0,0,onibus
301711,301759,2.0,0,0,0,0,onibus
301759,301758,1.0,0,0,0,0,onibus
301758,301773,1.0,0,0,0,0,onibus
301773,301766,2.0,0,0,0,0,onibus
301766,30003064,1.0,0,0,0,0,onibus
30003064,30003063,1.0,0,0,0,0,onibus
30003063,301737,2.0,0,0,0,0,onibus
301737,301683,1.0,0,0,0,0,onibus
301683,30003062,1.0,0,0,0,0,onibus
30003062,30003061,2.0,0,0,0,0,onibus
30003061,30003060,1.0,0,0,0,0,onibus
30003060,301794,2.0,0,0,0,0,onibus
301794,301796,1.0,0,0,0,0,onibus
301796,301802,1.0,0,0,0,0,onibus
301802,301799,2.0,0,0,0,0,onibus
301799,30003054,1.0,0,0,0,0,onibus
30003054,301774,1.0,0,0,0,0,onibus
301774,30003040,2.0,0,0,0,0,onibus
30003040,301730,1.0,0,0,0,0,onibus
301730,30003042,2.0,0,0,0,0,onibus
30003042,30003045,1.0,0,0,0,0,onibus
30003045,30003044,1.0,0,0,0,0,onibus
30003044,30003043,2.0,0,0,0,0,onibus
30003043,30003009,1.0,0,0,0,0,onibus
30003009,30003007,1.0,0,0,0,0,onibus
30003007,301751,2.0,0,0,0,0,onibus
301751,30003051,1.0,0,0,0,0,onibus
30003051,30003002,1.0,0,0,0,0,onibus
30003002,30003082,2.0,0,0,0,0,onibus
30003082,6201760,1.0,0,0,0,0,onibus
6201760,30003084,2.0,0,0,0,0,onibus
30003084,6201605,1.0,0,0,0,0,onibus
6201605,620003095,1.0,0,0,0,0,onibus
620003095,620003093,2.0,0,0,0,0,onibus
620003093,6201703,1.0,0,0,0,0,onibus
6201703,620003097,1.0,0,0,0,0,onibus
620003097,620003098,2.0,0,0,0,0,onibus
620003098,620003099,1.0,0,0,0,0,onibus
620003099,620003125,1.0,0,0,0,0,onibus
620003125,6201704,4.0,0,0,0,0,onibus
301785,30003160,2.0,0,0,0,0,onibus
30003160,301746,2.0,0,0,0,0,onibus
301746,301778,2.0,0,0,0,0,onibus
301778,301777,2.0,0,0,0,0,onibus
301777,301747,2.0,0,0,0,0,onibus
301747,301738,3.0,0,0,0,0,onibus
301738,301740,2.0,0,0,0,0,onibus
301740,301745,2.0,0,0,0,0,onibus
301745,301741,2.0,0,0,0,0,onibus
301741,301743,2.0,0,0,0,0,onibus
301743,301756,3.0,0,0,0,0,onibus
301756,301754,2.0,0,0,0,0,onibus
301754,301752,2.0,0,0,0,0,onibus
301752,301753,2.0,0,0,0,0,onibus
301753,301755,2.0,0,0,0,0,onibus
301755,301739,2.0,0,0,0,0,onibus
301739,301749,3.0,0,0,0,0,onibus
301749,30003001,2.0,0,0,0,0,onibus
30003001,30003051,2.0,0,0,0,0,onibus
30003051,301785,5.0,0,0,0,0,onibus
830004111,8312697,1.0,0,0,0,0,onibus
8312697,8313633,2.0,0,0,0,0,onibus
8313633,830004008,2.0,0,0,0,0,onibus
830004008,8313551,1.0,0,0,0,0,onibus
8313551,830004113,2.0,0,0,0,0,onibus
830004113,830004118,2.0,0,0,0,0,onibus
830004118,830004119,1.0,0,0,0,0,onibus
830004119,830004121,2.0,0,0,0,0,onibus
830004121,830004123,2.0,0,0,0,0,onibus
830004123,830004099,1.0,0,0,0,0,onibus
830004099,830004096,2.0,0,0,0,0,onibus
830004096,8313659,2.0,0,0,0,0,onibus
8313659,830004093,1.0,0,0,0,0,onibus
830004093,8312738,2.0,0,0,0,0,onibus
8312738,830004436,2.0,0,0,0,0,onibus
830004436,840004391,1.0,0,0,0,0,onibus
840004391,840003943,2.0,0,0,0,0,onibus
840003943,840003942,2.0,0,0,0,0,onibus
840003942,840003935,1.0,0,0,0,0,onibus
840003935,840003933,2.0,0,0,0,0,onibus
840003933,840003930,2.0,0,0,0,0,onibus
840003930,840000580,1.0,0,0,0,0,onibus
840000580,840000582,2.0,0,0,0,0,onibus
840000582,840000584,2.0,0,0,0,0,onibus
840000584,840000585,1.0,0,0,0,0,onibus
840000585,840002053,2.0,0,0,0,0,onibus
840002053,840002054,2.0,0,0,0,0,onibus
840002054,840002056,1.0,0,0,0,0,onibus
840002056,710002057,2.0,0,0,0,0,onibus
710002057,710002058,2.0,0,0,0,0,onibus
710002058,710002059,1.0,0,0,0,0,onibus
710002059,8812664,2.0,0,0,0,0,onibus
8812664,880002061,2.0,0,0,0,0,onibus
880002061,710000731,1.0,0,0,0,0,onibus
710000731,710000729,2.0,0,0,0,0,onibus
710000729,8812644,2.0,0,0,0,0,onibus
