id,name,lat,lon,tipo
18848,Clínicas,-23.554022,-46.671108,onibus
18849,Vila Madalena,-23.546498,-46.691141,onibus
18850,Consolação,-23.558094,-46.660205,onibus
18851,Conceição,-23.635039,-46.641239,onibus
18852,Jabaquara,-23.646033,-46.641028,onibus
18853,São Judas,-23.625882,-46.640936,onibus
18854,Saúde,-23.618245,-46.639139,onibus
18855,Praça Da Árvore,-23.610583,-46.637918,onibus
18856,Santa Cruz,-23.598541,-46.636638,onibus
18857,Vila Mariana,-23.589359,-46.634677,onibus
18858,Brigadeiro,-23.567615,-46.649027,onibus
18859,Trianon-masp,-23.56357,-46.653893,onibus
18860,Ana Rosa,-23.581203,-46.638489,onibus
18861,Paraíso,-23.5754,-46.6407,onibus
18862,Vergueiro,-23.568521,-46.639904,onibus
18863,São Joaquim,-23.561435,-46.638534,onibus
18864,Marechal Deodoro,-23.533163,-46.657264,onibus
18865,Santa Cecília,-23.538095,-46.649009,onibus
18866,República,-23.544215,-46.642461,onibus
18867,Anhangabaú,-23.5478,-46.6392,onibus
18868,Liberdade,-23.555211,-46.635581,onibus
18869,Sé,-23.5505,-46.633305,onibus
18870,São Bento,-23.5441,-46.6342,onibus
18871,Pedro II,-23.549742,-46.626281,onibus
18872,Luz,-23.5366,-46.6343,onibus
18873,Tiradentes,-23.531324,-46.632672,onibus
18874,Armênia,-23.5254,-46.6292,onibus
18875,Bresser-mooca,-23.546398,-46.607246,onibus
18876,Belém,-23.542922,-46.589676,onibus
18877,Portuguesa-tietê,-23.51624,-46.625149,onibus
18878,Carandiru,-23.508727,-46.624897,onibus
18879,Santana,-23.502716,-46.624716,onibus
18880,Jardim São Paulo-ayrton Senna,-23.492734,-46.617354,onibus
18881,Parada Inglesa,-23.487111,-46.608877,onibus
18882,Tucuruvi,-23.480049,-46.603209,onibus
18883,Carrão,-23.53784,-46.564393,onibus
18884,Penha,-23.533594,-46.542944,onibus
18885,Vila Matilde,-23.531901,-46.530904,onibus
18886,Guilhermina Esperança,-23.529319,-46.516673,onibus
18887,Patriarca,-23.531079,-46.501715,onibus
18888,Artur Alvim,-23.540068,-46.484833,onibus
18889,Eng. Goulart,-23.498281,-46.520092,onibus
18890,Corinthians-itaquera,-23.542411,-46.471964,onibus
18891,Comendador Ermelino,-23.485166,-46.482828,onibus
18892,Dom Bosco,-23.541714,-46.447993,onibus
18893,José Bonifácio,-23.53912,-46.431683,onibus
18894,Antônio Gianetti Neto,-23.554322,-46.383668,onibus
18895,Guaianases,-23.542298,-46.415633,onibus
18897,Itaim Paulista,-23.493989,-46.402304,onibus
18898,Ferraz De Vasconcelos,-23.540688,-46.368207,onibus
18899,Poá,-23.525211,-46.34325,onibus
18900,Eng Manoel Feio,-23.478636,-46.364469,onibus
18901,Calmon Viana,-23.525497,-46.332803,onibus
18902,Suzano,-23.533521,-46.309229,onibus
18906,Santo Amaro,-23.655909,-46.719702,onibus
18907,Jurubatuba,-23.677465,-46.702213,onibus
18908,Socorro,-23.66343,-46.71097,onibus
18909,Granja Julieta,-23.627599,-46.712111,onibus
18910,Morumbi,-23.621519,-46.701657,onibus
18911,Berrini,-23.604669,-46.696825,onibus
18912,Vila Olímpia,-23.593185,-46.692871,onibus
18913,Cidade Jardim,-23.585337,-46.691293,onibus
18914,Amador Bueno,-23.5307,-46.983928,onibus
18916,Piqueri,-23.504206,-46.714999,onibus
18917,Lapa (linha 7),-23.517538,-46.703952,onibus
18918,Lapa (linha 8),-23.519585,-46.700124,onibus
18919,Água Branca,-23.521231,-46.689237,onibus
18920,Palmeiras - Barra Funda,-23.525317,-46.666547,onibus
18921,Perus,-23.404054,-46.754465,onibus
18922,Jaraguá,-23.455502,-46.738483,onibus
18923,Vila Clarice,-23.470038,-46.744207,onibus
18924,Caieiras,-23.367176,-46.752822,onibus
18925,Franco Da Rocha,-23.332181,-46.727614,onibus
18926,Baltazar Fidélis,-23.310582,-46.722853,onibus
18927,Tamanduateí,-23.592982,-46.589343,onibus
18928,São Caetano,-23.610281,-46.57033,onibus
18929,Utinga,-23.626196,-46.543623,onibus
18930,Prefeito Saladino,-23.638762,-46.53686,onibus
18931,Ribeirão Pires,-23.713586,-46.414805,onibus
18932,Rio Grande Da Serra,-23.742981,-46.392026,onibus
18934,Capuava,-23.65851,-46.490542,onibus
18935,Mauá,-23.668016,-46.461769,onibus
18936,Prefeito Celso Daniel - Santo André,-23.652472,-46.528568,onibus
18937,Guapituba,-23.691321,-46.449263,onibus
18939,Júlio Prestes,-23.532964,-46.640763,onibus
18940,Luz,-23.535103,-46.635436,onibus
18941,Moóca,-23.557799,-46.608419,onibus
18942,Ipiranga,-23.582356,-46.59666,onibus
18944,Tatuapé,-23.5403,-46.5767,onibus
18946,Santa Rita,-23.545115,-46.947651,onibus
18947,Itapevi,-23.545728,-46.935416,onibus
18948,Engenheiro Cardoso,-23.535245,-46.928291,onibus
18949,Sagrado Coração,-23.52908,-46.91728,onibus
18950,Jandira,-23.527721,-46.902507,onibus
18951,Jardim Silveira,-23.523568,-46.893491,onibus
18952,Jardim Belval,-23.514306,-46.88929,onibus
18953,Barueri,-23.512644,-46.875113,onibus
18954,Antônio João,-23.516859,-46.858801,onibus
18955,Santa Terezinha,-23.516347,-46.84807,onibus
18956,Carapicuíba,-23.518744,-46.835417,onibus
18957,General Miguel Costa,-23.523639,-46.815998,onibus
18958,Quitaúna,-23.522871,-46.807085,onibus
18959,Comandante Sampaio,-23.52599,-46.796059,onibus
18960,Osasco,-23.527834,-46.776007,onibus
18961,Presidente Altino,-23.530423,-46.760577,onibus
18962,Ceasa,-23.538372,-46.741543,onibus
18963,Villa Lobos- Jaguaré,-23.546718,-46.732079,onibus
18964,Imperatriz Leopoldina,-23.523749,-46.737662,onibus
