from,to,tempo_min,transferencia,escada,calcada_ruim,risco_alag,modo
25928388,9084616302,0.8,0,0,0,0,pe
9084616302,8659320279,0.8,0,0,0,0,pe
25908565,8008438040,0.8,0,0,0,0,pe
8008438040,7812788551,0.8,0,0,0,0,pe
7812788551,7806311445,0.8,0,0,0,0,pe
7806311445,5268126534,0.8,0,0,0,0,pe
5268126534,25908745,0.8,0,0,0,0,pe
25908745,4217941181,0.8,0,0,0,0,pe
4217941181,9165573657,0.8,0,0,0,0,pe
9165573657,4063613483,0.8,0,0,0,0,pe
4217952599,4130767753,0.8,0,0,0,0,pe
4130767753,2390104116,0.8,0,0,0,0,pe
2390104116,2768154170,0.8,0,0,0,0,pe
2768154170,4063613486,0.8,0,0,0,0,pe
2578181698,60641264,0.8,0,0,0,0,pe
60641264,4511006063,0.8,0,0,0,0,pe
4511006063,4247742204,0.8,0,0,0,0,pe
4247742204,2578181694,0.8,0,0,0,0,pe
2578181694,285489139,0.8,0,0,0,0,pe
285489139,1828205658,0.8,0,0,0,0,pe
60641100,60685390,0.8,0,0,0,0,pe
60685390,12112936153,0.8,0,0,0,0,pe
12112936153,2396502031,0.8,0,0,0,0,pe
60641102,3713156708,1.5,0,0,0,0,pe
60641252,4247742002,0.8,0,0,0,0,pe
4247742002,891892446,0.8,0,0,0,0,pe
891892446,4247742046,0.8,0,0,0,0,pe
4247742046,5083769928,0.8,0,0,0,0,pe
5083769928,891892435,0.8,0,0,0,0,pe
891892435,12113294146,0.8,0,0,0,0,pe
12113294146,5083769929,0.8,0,0,0,0,pe
5083769929,4247742086,0.8,0,0,0,0,pe
4247742086,4247742138,0.8,0,0,0,0,pe
4247742138,891892404,0.8,0,0,0,0,pe
891892404,5083769930,0.8,0,0,0,0,pe
5083769930,4511462238,0.8,0,0,0,0,pe
4511462238,60641282,0.8,0,0,0,0,pe
4063613488,9165573647,0.8,0,0,0,0,pe
9165573647,4217952593,0.8,0,0,0,0,pe
4217952593,25927014,0.8,0,0,0,0,pe
25927014,5446635511,0.8,0,0,0,0,pe
5446635511,2768154177,0.8,0,0,0,0,pe
2388985931,2388985820,1.6,0,0,0,0,pe
2388985820,9288556226,1.6,0,0,0,0,pe
9288556226,2388985865,1.6,0,0,0,0,pe
2388985865,2388985895,1.6,0,0,0,0,pe
2388985895,2388985876,1.6,0,0,0,0,pe
2388985876,2390116092,1.6,0,0,0,0,pe
