id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_25778210,OSM Node 25778210,-23.5242177,-46.6026239,onibus,0.5,0
osm_60634869,Carandiru,-23.509163,-46.624929,onibus,0.5,0
osm_60634870,Portuguesa - Tietê,-23.5156407,-46.6251282,onibus,0.5,0
osm_60634883,Armênia,-23.5255041,-46.6293526,onibus,0.5,0
osm_60685789,Parada São Luís,-23.5477031,-46.6442349,onibus,0.5,0
osm_60685883,OSM Node 60685883,-23.5407706,-46.634373,onibus,0.5,0
osm_60685887,OSM Node 60685887,-23.5407613,-46.6342093,onibus,0.5,0
osm_60685913,OSM Node 60685913,-23.5429146,-46.6355744,onibus,0.5,0
osm_60685914,OSM Node 60685914,-23.543112,-46.6356965,onibus,0.5,0
osm_60685952,OSM Node 60685952,-23.5424778,-46.6346714,onibus,0.5,0
osm_60734140,Luz,-23.5351689,-46.6348473,onibus,0.5,0
osm_64035259,República,-23.5440229,-46.6426405,onibus,0.5,0
osm_158846093,OSM Node 158846093,-23.5422012,-46.6415445,onibus,0.5,0
osm_163186117,OSM Node 163186117,-23.5031043,-46.6196984,onibus,0.5,0
osm_163192877,Santana,-23.5020677,-46.6247204,onibus,0.5,0
osm_173997509,Pedro II,-23.5497225,-46.6259356,onibus,0.5,0
osm_173997515,Brás,-23.5479213,-46.6157969,onibus,0.5,0
osm_175684361,Anhangabaú,-23.5480088,-46.6390308,onibus,0.5,0
osm_175688340,Santa Cecília,-23.5393395,-46.6489737,onibus,0.5,0
osm_246649660,Tiradentes,-23.5309623,-46.6321397,onibus,0.5,0
osm_599043063,Metro São Bento,-23.5448117,-46.6337703,acesso,0.5,0
osm_600160140,OSM Node 600160140,-23.5440633,-46.6344153,acesso,0.5,0
osm_617798728,OSM Node 617798728,-23.5485202,-46.6384007,acesso,0.5,0
osm_617887941,OSM Node 617887941,-23.5474291,-46.639675,acesso,0.5,0
osm_656346471,Brás,-23.5453006,-46.6163092,onibus,0.5,0
osm_736941792,Estação Santa Cecília,-23.5390598,-46.6495462,acesso,0.5,0
osm_860398558,Metro São Bento,-23.5446867,-46.6332562,acesso,0.5,0
osm_1658464892,Luz,-23.5370674,-46.6336146,onibus,0.5,0
osm_1743222008,Júlio Prestes,-23.5330623,-46.6405032,onibus,0.5,0
osm_1743222016,Júlio Prestes,-23.5330989,-46.6405887,onibus,0.5,0
osm_1843331318,Luz,-23.5349402,-46.6358857,onibus,0.5,0
osm_1843331319,Luz,-23.5353267,-46.6348955,onibus,0.5,0
osm_1843331320,Luz,-23.5350961,-46.6359559,onibus,0.5,0
osm_1843331335,Luz,-23.5354589,-46.6337299,onibus,0.5,0
osm_1938339191,OSM Node 1938339191,-23.5399536,-46.6305431,onibus,0.5,0
osm_1938339294,OSM Node 1938339294,-23.5473595,-46.6264529,onibus,0.5,0
